Corner1 : Corner2 : Corner3 : Corner4 : Cage1 : Cage2 : CenterPoint
35,33:274,64:::130,63::
18,23:261,19:17,165:263,164:41,94:239,93:139,93
18,19:268,20:19,149:268,149:39,84:250,84:143,84
145,68:241,91:0,144::::145,109
130,67:251,76:::::132,87
34,8:285,8:25,153:304,150:51,76:271,76:161,75
66,76:210,86:25,114:209,134:67,94:187,105:124,99
26,81:120,76::::248,147:105,89
65,108:216,107:264,141:24,150:75,122:215,120:146,121
2,98:135,34:203,52::60,120:165,43:136,65
32,31:294,24:::::167,72
37,100:231,101:::::137,111
::::::120,91
4,128:122,39:190,60:108,224:65,140:148,53:117,79
20,91:162,58:44,156:213,69:79,94::142,75
26,60:134,51:161,173:::240,109:138,74
59,69:258,80:::::145,80
15,96:196,48:88,147:279,86:67,113:222,68:148,91
30,60:248,68:116,30:168,148::188,84:130,62
79,70:227,69:44,128:265,129:90,93:218,94:153,93
::::165,126::160,30
45,107:117,101::180,152:::90,120
46,82:233,91::250,144:::108,99
::::172,90:214,70:
22,56:94,36:142,138:216,77::160,88:
227,71:343,70:::301,126::286,86
35,41:120,26:155,129:261,76::::
::::::132,139
:145,71:84,165:248,90:69,108::140,92
170,64:234,78:72,99:188,153:::171,86
71,57:196,58:58,134:218,130:76,91:198,89:139,90
71,100:168,63:188,150:237,78:::171,87
37,117::::101,128::226,117
123,70:317,82:20,90:342,116:177,81
99,69:253,90:1,100:251,172:::132,96
:135,63::::211,91::
97,53::::41,87:::
130,66:223,70:::36,141:171,68:144,82
211,138::::199,158:::
::::::131,95
::::232,89::
::::85,59:280,88:
37,103::137,168::269,98:
0,112:190,65:70,171:272,78:::160,92
40,101:153,48:142,140:232,59:106,103::153,76
46,17:260,16:15,143:302,147:65,74:243,74:154,75
::::::138,112
41,29:95,16:111,77:170,57:::101,43
72,63:244,62:48,123:276,119:::161,86
31,65:104,50:139,164:247,102:::116,79
::::::
::::::
::::::
::::::
:::::162,173:9,123
:::::158,73::
::::::126,159
39,23:240,23:32,112:247,111:69,65:211,65:140,64
:214,46:::101,101::
::::78,39::242,48
177,42:251,55:61,107::::188,73
8,37:256,36:7,172:256,171:35,103:229,103:132,103
23,23:256,23:22,151:255,151:54,87:222,87:138,87[(202001, 180265), (202252, 180265), (201992, 180410), (202271, 180407), (202018, 180333), (202238, 180333), (202128, 180332)]
[(202221, 180494), (202472, 180494), (202212, 180639), (202491, 180636), (202238, 180562), (202458, 180562), (202348, 180561)]
[(202438, 180725), (202689, 180725), (202429, 180870), (202708, 180867), (202455, 180793), (202675, 180793), (202565, 180792)]
[(202660, 180953), (202911, 180953), (202651, 181098), (202930, 181095), (202677, 181021), (202897, 181021), (202787, 181020)]
[(202890, 181175), (203141, 181175), (202881, 181320), (203160, 181317), (202907, 181243), (203127, 181243), (203017, 181242)]
[(203088, 181417), (203339, 181417), (203079, 181562), (203358, 181559), (203105, 181485), (203325, 181485), (203215, 181484)]
[(203318, 181639), (203569, 181639), (203309, 181784), (203588, 181781), (203335, 181707), (203555, 181707), (203445, 181706)]
[(203528, 181875), (203779, 181875), (203519, 182020), (203798, 182017), (203545, 181943), (203765, 181943), (203655, 181942)]
[(203743, 182108), (203994, 182108), (203734, 182253), (204013, 182250), (203760, 182176), (203980, 182176), (203870, 182175)]
[(203975, 182329), (204226, 182329), (203966, 182474), (204245, 182471), (203992, 182397), (204212, 182397), (204102, 182396)]
[(204175, 182570), (204426, 182570), (204166, 182715), (204445, 182712), (204192, 182638), (204412, 182638), (204302, 182637)]
[(204397, 182798), (204648, 182798), (204388, 182943), (204667, 182940), (204414, 182866), (204634, 182866), (204524, 182865)]
[(204627, 183021), (204878, 183021), (204618, 183166), (204897, 183163), (204644, 183089), (204864, 183089), (204754, 183088)]
[(204874, 183228), (205125, 183228), (204865, 183373), (205144, 183370), (204891, 183296), (205111, 183296), (205001, 183295)]
[(205084, 183464), (205335, 183464), (205075, 183609), (205354, 183606), (205101, 183532), (205321, 183532), (205211, 183531)]
[(205299, 183697), (205550, 183697), (205290, 183842), (205569, 183839), (205316, 183765), (205536, 183765), (205426, 183764)]
[(205514, 183930), (205765, 183930), (205505, 184075), (205784, 184072), (205531, 183998), (205751, 183998), (205641, 183997)]
[(205729, 184163), (205980, 184163), (205720, 184308), (205999, 184305), (205746, 184231), (205966, 184231), (205856, 184230)]
[(205946, 184394), (206197, 184394), (205937, 184539), (206216, 184536), (205963, 184462), (206183, 184462), (206073, 184461)]
[(206156, 184630), (206407, 184630), (206147, 184775), (206426, 184772), (206173, 184698), (206393, 184698), (206283, 184697)]
[(206366, 184866), (206617, 184866), (206357, 185011), (206636, 185008), (206383, 184934), (206603, 184934), (206493, 184933)]
